ツアーID	ライブID	公演種別	国内・海外	日付	ツアー名	date	会場	地域	曲順	曲名	曲ID	バリエーション	セトリ解禁済	ツアー最終公演日
27ab3cb5	0b55ae90	ツアー	国内	2012/01/28	amazarashi LIVE 「千年幸福論」	2012.01.28	渋谷公会堂	東京都	1	千年幸福論 ポエトリーリーディング	#N/A	朗読	TRUE	-
27ab3cb5	0b55ae90	ツアー	国内	2012/01/28	amazarashi LIVE 「千年幸福論」	2012.01.28	渋谷公会堂	東京都	2	デスゲーム	122105		TRUE	-
27ab3cb5	0b55ae90	ツアー	国内	2012/01/28	amazarashi LIVE 「千年幸福論」	2012.01.28	渋谷公会堂	東京都	3	空っぽの空に潰される	122104		TRUE	-
27ab3cb5	0b55ae90	ツアー	国内	2012/01/28	amazarashi LIVE 「千年幸福論」	2012.01.28	渋谷公会堂	東京都	4	アノミー	108117		TRUE	-
27ab3cb5	0b55ae90	ツアー	国内	2012/01/28	amazarashi LIVE 「千年幸福論」	2012.01.28	渋谷公会堂	東京都	5	つじつま合わせに生まれた僕等	87787		TRUE	-
27ab3cb5	0b55ae90	ツアー	国内	2012/01/28	amazarashi LIVE 「千年幸福論」	2012.01.28	渋谷公会堂	東京都	6	美しき思い出	122097		TRUE	-
27ab3cb5	0b55ae90	ツアー	国内	2012/01/28	amazarashi LIVE 「千年幸福論」	2012.01.28	渋谷公会堂	東京都	7	ピアノ泥棒	108620		TRUE	-
27ab3cb5	0b55ae90	ツアー	国内	2012/01/28	amazarashi LIVE 「千年幸福論」	2012.01.28	渋谷公会堂	東京都	8	冬が来る前に	122095		TRUE	-
27ab3cb5	0b55ae90	ツアー	国内	2012/01/28	amazarashi LIVE 「千年幸福論」	2012.01.28	渋谷公会堂	東京都	9	爆弾の作り方	94703		TRUE	-
27ab3cb5	0b55ae90	ツアー	国内	2012/01/28	amazarashi LIVE 「千年幸福論」	2012.01.28	渋谷公会堂	東京都	10	夏を待っていました	94676		TRUE	-
27ab3cb5	0b55ae90	ツアー	国内	2012/01/28	amazarashi LIVE 「千年幸福論」	2012.01.28	渋谷公会堂	東京都	11	ワンルーム叙事詩	104136		TRUE	-
27ab3cb5	0b55ae90	ツアー	国内	2012/01/28	amazarashi LIVE 「千年幸福論」	2012.01.28	渋谷公会堂	東京都	12	奇跡	104140		TRUE	-
27ab3cb5	0b55ae90	ツアー	国内	2012/01/28	amazarashi LIVE 「千年幸福論」	2012.01.28	渋谷公会堂	東京都	13	コンビニ傘	104135		TRUE	-
27ab3cb5	0b55ae90	ツアー	国内	2012/01/28	amazarashi LIVE 「千年幸福論」	2012.01.28	渋谷公会堂	東京都	14	古いSF映画	122103		TRUE	-
27ab3cb5	0b55ae90	ツアー	国内	2012/01/28	amazarashi LIVE 「千年幸福論」	2012.01.28	渋谷公会堂	東京都	15	カルマ	94700		TRUE	-
27ab3cb5	0b55ae90	ツアー	国内	2012/01/28	amazarashi LIVE 「千年幸福論」	2012.01.28	渋谷公会堂	東京都	16	未来づくり	122094		TRUE	-
27ab3cb5	0b55ae90	ツアー	国内	2012/01/28	amazarashi LIVE 「千年幸福論」	2012.01.28	渋谷公会堂	東京都	17	千年幸福論	122099		TRUE	-
27ab3cb5	90149c38	ツアー	国内	2012/03/16	amazarashi LIVE 「千年幸福論」	2012.03.16	渋谷AX	東京都	1	千年幸福論 ポエトリーリーディング	#N/A	朗読	TRUE	-
27ab3cb5	90149c38	ツアー	国内	2012/03/16	amazarashi LIVE 「千年幸福論」	2012.03.16	渋谷AX	東京都	2	デスゲーム	122105		TRUE	-
27ab3cb5	90149c38	ツアー	国内	2012/03/16	amazarashi LIVE 「千年幸福論」	2012.03.16	渋谷AX	東京都	3	空っぽの空に潰される	122104		TRUE	-
27ab3cb5	90149c38	ツアー	国内	2012/03/16	amazarashi LIVE 「千年幸福論」	2012.03.16	渋谷AX	東京都	4	ムカデ	87786		TRUE	-
27ab3cb5	90149c38	ツアー	国内	2012/03/16	amazarashi LIVE 「千年幸福論」	2012.03.16	渋谷AX	東京都	5	アノミー	108117		TRUE	-
27ab3cb5	90149c38	ツアー	国内	2012/03/16	amazarashi LIVE 「千年幸福論」	2012.03.16	渋谷AX	東京都	6	つじつま合わせに生まれた僕等	87787		TRUE	-
27ab3cb5	90149c38	ツアー	国内	2012/03/16	amazarashi LIVE 「千年幸福論」	2012.03.16	渋谷AX	東京都	7	美しき思い出	122097		TRUE	-
27ab3cb5	90149c38	ツアー	国内	2012/03/16	amazarashi LIVE 「千年幸福論」	2012.03.16	渋谷AX	東京都	8	ピアノ泥棒	108620		TRUE	-
27ab3cb5	90149c38	ツアー	国内	2012/03/16	amazarashi LIVE 「千年幸福論」	2012.03.16	渋谷AX	東京都	9	冬が来る前に	122095		TRUE	-
27ab3cb5	90149c38	ツアー	国内	2012/03/16	amazarashi LIVE 「千年幸福論」	2012.03.16	渋谷AX	東京都	10	爆弾の作り方	94703		TRUE	-
27ab3cb5	90149c38	ツアー	国内	2012/03/16	amazarashi LIVE 「千年幸福論」	2012.03.16	渋谷AX	東京都	11	夏を待っていました	94676		TRUE	-
27ab3cb5	90149c38	ツアー	国内	2012/03/16	amazarashi LIVE 「千年幸福論」	2012.03.16	渋谷AX	東京都	12	ワンルーム叙事詩	104136		TRUE	-
27ab3cb5	90149c38	ツアー	国内	2012/03/16	amazarashi LIVE 「千年幸福論」	2012.03.16	渋谷AX	東京都	13	奇跡	104140		TRUE	-
27ab3cb5	90149c38	ツアー	国内	2012/03/16	amazarashi LIVE 「千年幸福論」	2012.03.16	渋谷AX	東京都	14	コンビニ傘	104135		TRUE	-
27ab3cb5	90149c38	ツアー	国内	2012/03/16	amazarashi LIVE 「千年幸福論」	2012.03.16	渋谷AX	東京都	15	古いSF映画	122103		TRUE	-
27ab3cb5	90149c38	ツアー	国内	2012/03/16	amazarashi LIVE 「千年幸福論」	2012.03.16	渋谷AX	東京都	16	カルマ	94700		TRUE	-
27ab3cb5	90149c38	ツアー	国内	2012/03/16	amazarashi LIVE 「千年幸福論」	2012.03.16	渋谷AX	東京都	17	祈り	130995		TRUE	-
27ab3cb5	90149c38	ツアー	国内	2012/03/16	amazarashi LIVE 「千年幸福論」	2012.03.16	渋谷AX	東京都	18	未来づくり	122094		TRUE	-
27ab3cb5	90149c38	ツアー	国内	2012/03/16	amazarashi LIVE 「千年幸福論」	2012.03.16	渋谷AX	東京都	19	千年幸福論	122099		TRUE	-
27ab3cb5	3bd4c9b7	ツアー	国内	2012/03/23	amazarashi LIVE 「千年幸福論」	2012.03.23	大阪umeda AKASO	大阪府	1	千年幸福論 ポエトリーリーディング	#N/A	朗読	TRUE	-
27ab3cb5	3bd4c9b7	ツアー	国内	2012/03/23	amazarashi LIVE 「千年幸福論」	2012.03.23	大阪umeda AKASO	大阪府	2	デスゲーム	122105		TRUE	-
27ab3cb5	3bd4c9b7	ツアー	国内	2012/03/23	amazarashi LIVE 「千年幸福論」	2012.03.23	大阪umeda AKASO	大阪府	3	空っぽの空に潰される	122104		TRUE	-
27ab3cb5	3bd4c9b7	ツアー	国内	2012/03/23	amazarashi LIVE 「千年幸福論」	2012.03.23	大阪umeda AKASO	大阪府	4	ムカデ	87786		TRUE	-
27ab3cb5	3bd4c9b7	ツアー	国内	2012/03/23	amazarashi LIVE 「千年幸福論」	2012.03.23	大阪umeda AKASO	大阪府	5	アノミー	108117		TRUE	-
27ab3cb5	3bd4c9b7	ツアー	国内	2012/03/23	amazarashi LIVE 「千年幸福論」	2012.03.23	大阪umeda AKASO	大阪府	6	つじつま合わせに生まれた僕等	87787		TRUE	-
